model,label,table,bootstrap_point,ci_low,ci_high
ministral3,Ministral 3,93.0,93.03,92.09,93.93
deepseek,deepseek-v4-flash (cloud),94.2,94.18,93.85,94.51
gpt_oss,gpt-oss,91.1,90.81,89.44,92.06
phi4,Phi-4,91.0,90.96,89.82,92.01
llama31_local,Llama 3.1,85.5,85.51,83.9,87.03
primus,Primus-Merged,85.2,85.18,83.85,86.46
qwen3_local,Qwen3,85.0,85.06,83.28,86.77
gemma4,Gemma 4 E4B,83.5,84.26,81.91,86.52
deepseek_local,DeepSeek-Coder-V2,79.4,79.44,77.62,81.15
foundation_sec,Foundation-Sec,78.8,78.84,76.92,80.71
